Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Jared Wayne,40288,Hou,WR,,Sun 1:00 pm @ Ind,FA,1,8,2.19,"2,280",323,0%,-,-,-,-,-,-,1.6,1.0,12.3,0.1,-,0.0,0.0
Eli Raridon,42717,NE,TE,Q,Sun 1:00 pm @ Jax,FA,1,11,2.18,"2,093",324,0%,-,-,-,-,-,-,1.1,1.0,11.5,0.1,-,0.0,0.0
Josh Oliver,31901,Min,TE,,Sun 4:05 pm @ TB,FA,1,6,2.16,"2,046",325,0%,-,-,-,-,-,-,1.4,1.1,11.5,0.1,-,0.0,0.0
Foster Moreau,31969,Hou,TE,,Sun 1:00 pm @ Ind,FA,1,8,2.16,"2,121",326,0%,-,-,-,-,-,-,1.8,1.1,11.7,0.1,-,0.0,0.0
Marvin Mims Jr.,40090,Den,WR,Q,Sun 8:20 pm vs LAR,FA,1,10,2.12,274,327,1%,-,-,-,0.4,1.8,0.0,1.0,0.8,7.8,0.1,0.1,0.0,0.0
Colbie Young,42762,Cin,WR,,Sun 1:00 pm @ Pit,FA,1,6,2.08,"2,520",328,0%,-,-,-,-,-,-,1.2,1.0,12.3,0.1,-,0.0,0.0
Jacob Cowing,40996,SF,WR,,Sun 4:05 pm vs Ari,FA,1,8,2.07,"2,677",329,0%,-,-,-,0.0,0.1,0.0,1.5,0.8,11.8,0.1,0.0,0.0,0.0
Chimere Dike,41903,Ten,WR,,Sun 1:00 pm @ NYG,FA,1,9,2.03,264,330,2%,-,-,-,0.3,1.3,0.0,0.9,0.7,6.8,0.1,0.0,0.0,0.0
Austin Hooper,29315,Atl,TE,,Thu 8:15 pm @ GB,FA,1,11,2.02,"2,050",331,0%,-,-,-,-,-,-,1.7,1.1,11.1,0.1,-,0.0,0.0
Jeremy Ruckert,34057,NYJ,TE,,Sun 1:00 pm @ Det,FA,1,13,2.01,"2,265",332,0%,-,-,-,-,-,-,1.6,1.2,10.1,0.1,-,0.0,0.0
Kevin Coleman Jr.,42768,Mia,WR,,Sun 1:00 pm vs KC,FA,1,6,2.00,283,333,0%,-,-,-,-,-,-,1.6,1.0,12.5,0.0,-,0.0,0.0
Demond Claiborne,42820,Min,RB,,Sun 4:05 pm @ TB,FA,1,6,2.00,286,334,3%,-,-,-,1.8,6.7,0.1,0.6,0.6,5.2,0.0,-,0.0,0.0
Ashton Dulin,32292,Ind,WR,Q,Sun 1:00 pm vs Hou,FA,1,13,1.98,"2,737",335,0%,-,-,-,0.1,0.6,0.0,1.3,0.7,12.0,0.1,0.0,0.0,0.0
Seth McGowan,42859,Ind,RB,,Sun 1:00 pm vs Hou,FA,1,13,1.96,287,336,1%,-,-,-,2.4,9.0,0.0,0.5,0.6,3.9,0.0,-,0.0,0.0
Kyle Juszczyk,26753,SF,RB,,Sun 4:05 pm vs Ari,FA,1,8,1.93,"2,240",337,0%,-,-,-,0.1,0.4,0.0,1.2,0.9,9.1,0.1,-,0.0,0.0
Durham Smythe,31093,Bal,TE,,Sun 4:25 pm @ Dal,FA,1,13,1.93,"2,695",338,0%,-,-,-,-,-,-,1.3,1.0,10.2,0.1,-,0.0,0.0
Drew Sample,31884,Cin,TE,,Sun 1:00 pm @ Pit,FA,1,6,1.91,"2,124",339,0%,-,-,-,0.0,0.1,0.0,1.4,1.1,9.8,0.1,-,0.0,0.0
Daniel Bellinger,34068,Ten,TE,,Sun 1:00 pm @ NYG,FA,1,9,1.87,"2,089",340,0%,-,-,-,-,-,-,1.2,0.9,10.7,0.1,-,0.0,0.0
Jaylen Wright,41010,Mia,RB,Q,Sun 1:00 pm vs KC,FA,1,6,1.82,277,341,1%,-,-,-,2.2,8.1,0.1,0.5,0.4,3.4,0.0,-,0.0,0.0
Tez Johnson,42030,TB,WR,,Sun 4:05 pm vs Min,FA,1,10,1.81,"2,072",342,0%,-,-,-,0.3,1.0,0.0,1.2,0.7,9.4,0.1,-,0.0,0.0
Darius Cooper,42464,Phi,WR,,Mon 8:15 pm @ Chi,FA,1,10,1.78,"2,279",343,0%,-,-,-,-,-,-,1.3,0.8,9.8,0.1,-,0.0,0.0
Luke Farrell,33533,SF,TE,,Sun 4:05 pm vs Ari,FA,1,8,1.78,"2,515",344,0%,-,-,-,-,-,-,1.2,1.0,8.7,0.1,-,0.0,0.0
Isaiah Bond,42598,Cle,WR,,Sun 1:00 pm vs Car,FA,1,11,1.77,"2,508",345,0%,-,-,-,0.1,0.7,0.0,0.9,0.6,10.5,0.1,-,0.0,0.0
Kaytron Allen,42809,Was,RB,,Sun 1:00 pm vs Sea,FA,1,7,1.73,265,346,2%,-,-,-,2.6,9.7,0.0,0.3,0.4,2.3,0.0,-,0.0,0.0
Matt Hibner,42755,Bal,TE,,Sun 4:25 pm @ Dal,FA,1,13,1.73,"2,246",347,0%,-,-,-,-,-,-,0.9,0.8,9.4,0.1,-,0.0,0.0
Darius Slayton,32003,Ind,WR,,Sun 1:00 pm vs Hou,FA,1,13,1.70,360,348,0%,-,-,-,-,-,-,1.5,0.8,11.3,0.0,-,0.0,0.0
Marlin Klein,42681,Hou,TE,,Sun 1:00 pm @ Ind,FA,1,8,1.63,"2,238",349,0%,-,-,-,-,-,-,0.8,0.8,9.4,0.1,-,0.0,0.0
Isaiah Davis,41031,NYJ,RB,,Sun 1:00 pm @ Det,FA,1,13,1.63,291,350,0%,-,-,-,1.0,4.7,0.0,0.6,0.6,5.1,0.0,-,0.0,0.0
Adam Trautman,32775,Den,TE,,Sun 8:20 pm vs LAR,FA,1,10,1.63,"2,091",351,0%,-,-,-,-,-,-,1.3,0.9,8.8,0.0,-,0.0,0.0
Chris Moore,29341,Bal,WR,Q,Sun 4:25 pm @ Dal,FA,1,13,1.63,"2,256",352,0%,-,-,-,-,-,-,1.1,0.6,10.1,0.1,-,0.0,0.0
Nate Adkins,40702,Den,TE,,Sun 8:20 pm vs LAR,FA,1,10,1.62,"2,096",353,0%,-,-,-,0.1,0.4,0.0,1.2,0.8,7.7,0.1,-,0.0,0.0
Malik Benson,42817,LV,WR,,Sun 4:25 pm @ NO,FA,1,13,1.61,"2,624",354,0%,-,-,-,0.1,0.6,0.0,0.7,0.7,8.2,0.0,0.0,0.0,0.0
Ameer Abdullah,28442,Jax,RB,,Sun 1:00 pm vs NE,FA,1,7,1.57,"2,666",355,0%,-,-,-,1.7,6.9,0.0,0.6,0.5,3.1,0.0,0.0,0.0,0.0
Mitchell Evans,41949,Car,TE,,Sun 1:00 pm @ Cle,FA,1,5,1.56,"2,103",356,0%,-,-,-,0.0,0.1,0.0,1.2,0.8,7.8,0.1,-,0.0,0.0
Barion Brown,42812,NO,WR,Q,Sun 4:25 pm vs LV,FA,1,8,1.55,"2,623",357,1%,-,-,-,0.1,0.8,0.0,0.6,0.6,6.6,0.0,0.0,0.0,0.0
Hollywood Brown,31857,Phi,WR,,Mon 8:15 pm @ Chi,FA,1,10,1.53,347,358,0%,-,-,-,0.2,1.5,0.0,0.5,0.6,7.8,0.0,-,0.0,0.0
Tyler Higbee,29344,LAR,TE,,Sun 8:20 pm @ Den,FA,1,11,1.50,336,359,0%,-,-,-,-,-,-,1.0,0.8,8.0,0.1,-,0.0,0.0
Bo Melton,34185,GB,WR,,Thu 8:15 pm vs Atl,FA,1,11,1.47,"2,720",360,0%,-,-,-,0.2,1.0,0.0,0.7,0.5,9.1,0.0,0.0,0.0,0.0
Oscar Delp,42695,NO,TE,,Sun 4:25 pm vs LV,FA,1,8,1.47,"2,262",361,0%,-,-,-,-,-,-,0.8,0.8,7.5,0.1,-,0.0,0.0
Jaleel McLaughlin,40696,Cle,RB,,Sun 1:00 pm vs Car,FA,1,11,1.47,"2,639",362,0%,-,-,-,1.2,5.5,0.0,0.7,0.5,3.2,0.0,-,0.0,0.0
Ben Sinnott,40931,Was,TE,,Sun 1:00 pm vs Sea,FA,1,7,1.44,"2,116",363,0%,-,-,-,0.0,0.1,-,1.1,0.9,7.3,0.0,-,0.0,0.0
Josh Cameron,42813,Jax,WR,,Sun 1:00 pm vs NE,FA,1,7,1.43,"2,248",364,0%,-,-,-,0.1,0.3,0.0,1.1,0.6,7.4,0.1,-,0.0,0.0
Blake Whiteheart,40433,Cle,TE,,Sun 1:00 pm vs Car,FA,1,11,1.42,"2,636",365,0%,-,-,-,-,-,-,1.0,0.7,6.9,0.1,-,0.0,0.0
Hunter Luepke,40780,Dal,RB,,Sun 4:25 pm vs Bal,FA,1,14,1.41,"2,766",366,0%,-,-,-,0.8,3.1,0.0,0.8,0.6,5.0,0.0,-,0.0,0.0
Elijah Higgins,40226,Ari,TE,,Sun 4:05 pm @ SF,FA,1,14,1.41,"2,257",367,0%,-,-,-,-,-,-,0.9,0.8,7.5,0.0,-,0.0,0.0
Ollie Gordon II,41969,Mia,RB,,Sun 1:00 pm vs KC,FA,1,6,1.40,295,368,1%,-,-,-,1.9,5.4,0.1,0.4,0.4,2.2,0.0,-,0.0,0.0
KhaDarel Hodge,31769,SF,WR,,Sun 4:05 pm vs Ari,FA,1,8,1.39,"2,758",369,0%,-,-,-,-,-,-,0.9,0.7,8.7,0.0,-,0.0,0.0
Derius Davis,40133,LAC,WR,,Sun 1:00 pm @ Buf,FA,1,7,1.38,"2,778",370,0%,-,-,-,0.1,0.3,0.0,0.8,0.5,5.5,0.0,0.1,0.0,0.0
LeQuint Allen Jr.,42007,Jax,RB,Q,Sun 1:00 pm vs NE,FA,1,7,1.37,303,371,0%,-,-,-,0.7,2.9,0.0,0.8,0.7,4.3,0.0,-,0.0,0.0
Tutu Atwell,33445,LAR,WR,,Sun 8:20 pm @ Den,FA,1,11,1.34,"2,123",372,1%,-,-,-,0.0,0.1,-,0.4,0.4,10.2,0.0,-,0.0,0.0
Brandin Cooks,27548,SF,WR,NA,Sun 4:05 pm vs Ari,FA,1,8,1.34,"2,237",373,0%,-,-,-,-,-,-,0.9,0.5,7.7,0.1,-,0.0,0.0
Jordan Whittington,41083,LAR,WR,Q,Sun 8:20 pm @ Den,FA,1,11,1.31,"2,680",374,0%,-,-,-,0.1,0.5,0.0,1.1,0.7,6.8,0.0,0.0,0.0,0.0
Sam Roush,42691,Chi,TE,,Mon 8:15 pm vs Phi,FA,1,10,1.30,"2,258",375,0%,-,-,-,-,-,-,0.9,0.7,7.3,0.0,-,0.0,0.0
Konata Mumpfield,42035,LAR,WR,,Sun 8:20 pm @ Den,FA,1,11,1.30,"2,694",376,2%,-,-,-,-,-,-,1.4,0.7,6.9,0.0,-,0.0,0.0
Luke Schoonmaker,40061,Dal,TE,,Sun 4:25 pm vs Bal,FA,1,14,1.27,"2,494",377,0%,-,-,-,-,-,-,1.0,0.7,7.2,0.0,-,0.0,0.0
CJ Donaldson,42940,NO,RB,,Sun 4:25 pm vs LV,FA,1,8,1.25,"2,681",378,0%,-,-,-,1.2,4.5,0.0,0.5,0.4,2.9,0.0,-,0.0,0.0
John Bates,33512,Was,TE,,Sun 1:00 pm vs Sea,FA,1,7,1.24,"2,275",379,0%,-,-,-,-,-,-,1.0,0.8,6.3,0.0,-,0.0,0.0
Jackson Hawes,41959,Buf,TE,,Sun 1:00 pm vs LAC,FA,1,7,1.22,"2,084",380,0%,-,-,-,-,-,-,0.8,0.6,6.5,0.0,-,0.0,0.0
Brevyn Spann-Ford,41371,Dal,TE,,Sun 4:25 pm vs Bal,FA,1,14,1.20,"2,645",381,0%,-,-,-,-,-,-,0.9,0.6,6.7,0.0,-,0.0,0.0
Elijah Sarratt,42737,Bal,WR,,Sun 4:25 pm @ Dal,FA,1,13,1.20,263,382,0%,-,-,-,0.0,0.0,-,0.0,0.6,6.0,0.1,-,-,-
Nate Boerkircher,42678,Jax,TE,,Sun 1:00 pm vs NE,FA,1,7,1.19,"2,274",383,0%,-,-,-,-,-,-,0.9,0.6,6.2,0.0,-,0.0,0.0
Sean Tucker,40742,TB,RB,,Sun 4:05 pm vs Min,FA,1,10,1.17,258,384,1%,-,-,-,1.5,5.4,0.1,0.1,0.2,0.9,0.0,-,0.0,0.0
Brock Wright,33774,Det,TE,,Sun 1:00 pm vs NYJ,FA,1,6,1.17,"2,066",385,0%,-,-,-,-,-,-,0.8,0.7,5.5,0.0,-,0.0,0.0
Cedric Tillman,40093,NO,WR,NA,Sun 4:25 pm vs LV,FA,-,8,1.15,"2,062",386,0%,-,-,-,-,-,-,-,0.5,7,0.0,-,-,-
Jahdae Walker,42400,Chi,WR,,Mon 8:15 pm vs Phi,FA,1,10,1.14,"2,064",387,0%,-,-,-,-,-,-,0.9,0.5,6.0,0.1,-,0.0,0.0
Jalen Royals,41891,KC,WR,,Sun 1:00 pm @ Mia,FA,1,5,1.12,"2,266",388,0%,-,-,-,0.0,0.1,0.0,0.9,0.5,5.4,0.1,-,0.0,0.0
Jordan James,41933,SF,RB,,Sun 4:05 pm vs Ari,FA,1,8,1.11,289,389,1%,-,-,-,1.3,5.5,0.0,0.0,0.2,2.4,0.0,-,0.0,0.0
M. Valdes-Scantling,31144,LAC,WR,,Sun 1:00 pm @ Buf,FA,1,7,1.08,"2,241",390,0%,-,-,-,-,-,-,1.1,0.5,6.3,0.0,-,0.0,0.0
Cody White,32948,LV,WR,NA,Sun 4:25 pm @ NO,FA,1,13,1.03,"2,122",391,0%,-,-,-,-,-,-,0.6,0.4,5.2,0.1,-,0.0,0.0
Tyler Badie,34152,Den,RB,,Sun 8:20 pm vs LAR,FA,1,10,1.02,"2,726",392,0%,-,-,-,0.6,2.7,0.0,0.5,0.4,3.1,0.0,-,0.0,0.0
Tyrone Tracy Jr.,41048,NYG,RB,,Sun 1:00 pm vs Ten,FA,1,8,1.01,285,393,7%,-,-,-,1.4,5.7,0.0,0.1,0.2,1.3,0.0,-,0.0,0.0
Davis Allen,40164,LAR,TE,,Sun 8:20 pm @ Den,FA,1,11,0.98,"2,106",394,0%,-,-,-,-,-,-,0.8,0.6,5.1,0.0,-,0.0,0.0
Kimani Vidal,41052,LAC,RB,,Sun 1:00 pm @ Buf,FA,1,7,0.96,241,395,2%,-,-,-,0.7,3.2,0.0,0.4,0.2,1.7,0.0,-,0.0,0.0
Jelani Woods,34029,NYJ,TE,,Sun 1:00 pm @ Det,FA,1,13,0.95,"2,211",396,0%,-,-,-,-,-,-,0.5,0.5,5.1,0.0,-,0.0,0.0
Mo Alie-Cox,30112,Ind,TE,,Sun 1:00 pm vs Hou,FA,1,13,0.93,"2,253",397,0%,-,-,-,-,-,-,0.7,0.5,4.8,0.0,-,0.0,0.0
Xavier Smith,40399,LAR,WR,,Sun 8:20 pm @ Den,FA,1,11,0.91,"2,714",398,0%,-,-,-,0.0,0.2,0.0,0.6,0.4,4.8,0.0,0.0,0.0,0.0
Jaylin Lane,41920,Was,WR,,Sun 1:00 pm vs Sea,FA,1,7,0.90,"2,621",399,0%,-,-,-,0.1,0.3,0.0,0.4,0.3,3.3,0.0,0.0,0.0,0.0
Odell Beckham Jr.,27540,NYG,WR,,Sun 1:00 pm vs Ten,FA,1,8,0.88,"2,522",400,2%,-,-,-,-,-,-,0.9,0.4,5.0,0.0,-,0.0,0.0
Efton Chism III,42296,NE,WR,,Sun 1:00 pm @ Jax,FA,1,11,0.87,"2,691",401,0%,-,-,-,-,-,-,0.6,0.4,4.9,0.0,-,0.0,0.0
Tai Felton,41859,Min,WR,,Sun 4:05 pm @ TB,FA,1,6,0.87,"2,732",402,0%,-,-,-,0.0,0.1,-,0.5,0.5,5.0,0.0,-,0.0,0.0
Connor Heyward,34163,LV,RB,,Sun 4:25 pm @ NO,FA,1,13,0.85,"2,772",403,0%,-,-,-,0.7,2.8,0.0,0.3,0.3,1.9,0.0,-,0.0,0.0
Quintin Morris,33819,Jax,TE,,Sun 1:00 pm vs NE,FA,1,7,0.84,"2,646",404,0%,-,-,-,-,-,-,0.6,0.4,4.2,0.0,-,0.0,0.0
Jaydon Blue,41935,Phi,RB,NA,Mon 8:15 pm @ Chi,FA,-,10,0.83,315,405,1%,-,-,-,0.8,3.5,0.1,-,-,-,0.0,-,-,-
E.J. Jenkins,40550,Phi,TE,,Mon 8:15 pm @ Chi,FA,1,10,0.82,"2,153",406,0%,-,-,-,-,-,-,0.6,0.4,4.3,0.0,-,0.0,0.0
Lil'Jordan Humphrey,32494,Den,WR,,Sun 8:20 pm vs LAR,FA,1,10,0.80,"2,252",407,0%,-,-,-,-,-,-,0.6,0.4,4.2,0.0,-,0.0,0.0
Michael Carter,33495,Ten,RB,NA,Sun 1:00 pm @ NYG,FA,-,9,0.80,"2,044",408,0%,-,-,-,0.5,2.1,0.0,-,0.4,2.9,0.0,-,-,-
Max Klare,42683,LAR,TE,,Sun 8:20 pm @ Den,FA,1,11,0.78,"2,178",409,0%,-,-,-,-,-,-,0.3,0.5,3.9,0.0,-,0.0,0.0
Jordan Watkins,41917,SF,WR,,Sun 4:05 pm vs Ari,FA,1,8,0.76,"2,465",410,0%,-,-,-,-,-,-,0.4,0.4,4.7,0.0,-,-,-
Bam Knight,34357,Ari,RB,,Sun 4:05 pm @ SF,FA,-,14,0.74,311,411,0%,-,-,-,-,-,0.0,-,0.5,3.3,0.0,-,-,-
Jalen Tolbert,34044,Mia,WR,,Sun 1:00 pm vs KC,FA,1,6,0.74,"2,090",412,0%,-,-,-,-,-,-,0.6,0.3,3.9,0.0,-,0.0,0.0
Tanner Koziol,42797,Jax,TE,,Sun 1:00 pm vs NE,FA,1,7,0.73,"2,155",413,0%,-,-,-,-,-,-,0.4,0.4,3.9,0.0,-,0.0,0.0
Brashard Smith,42012,KC,RB,,Sun 1:00 pm @ Mia,FA,1,5,0.73,304,414,0%,-,-,-,0.6,2.4,0.0,0.2,0.2,1.5,0.0,-,0.0,0.0
Charlie Woerner,32860,Atl,TE,,Thu 8:15 pm @ GB,FA,1,11,0.72,"2,683",415,0%,-,-,-,-,-,-,0.6,0.4,3.6,0.0,-,0.0,0.0
Treylon Burks,33973,Was,WR,,Sun 1:00 pm vs Sea,FA,1,7,0.71,"2,658",416,0%,-,-,-,0.1,0.3,0.0,0.4,0.3,3.9,0.0,-,0.0,0.0
Zavion Thomas,42711,Chi,WR,,Mon 8:15 pm vs Phi,FA,1,10,0.71,"2,628",417,1%,-,-,-,0.1,0.6,0.0,0.1,0.2,3.8,0.0,-,-,-
Skyler Bell,42747,Buf,WR,,Sun 1:00 pm vs LAC,FA,1,7,0.71,284,418,0%,-,-,-,0.0,0.0,-,0.5,0.3,3.6,0.0,-,0.0,0.0
Tahj Brooks,41983,Cin,RB,,Sun 1:00 pm @ Pit,FA,1,6,0.68,305,419,0%,-,-,-,1.0,3.3,0.0,0.1,0.1,1.0,0.0,-,0.0,0.0
Hunter Long,33469,Ari,TE,,Sun 4:05 pm @ SF,FA,-,14,0.68,"2,102",420,0%,-,-,-,-,-,-,0.5,0.3,3.1,0.0,-,0.0,0.0
Jonathan Mingo,40073,Dal,WR,,Sun 4:25 pm vs Bal,FA,1,14,0.68,"2,754",421,0%,-,-,-,-,-,-,0.6,0.3,4.1,0.0,-,0.0,0.0
Brycen Tremayne,40407,Car,WR,,Sun 1:00 pm @ Cle,FA,1,5,0.68,"2,721",422,0%,-,-,-,0.0,0.1,0.0,0.5,0.4,3.6,0.0,-,-,0.0
Jacob Saylors,40474,Det,RB,,Sun 1:00 pm vs NYJ,FA,1,6,0.68,316,423,1%,-,-,-,0.5,2.3,0.0,0.2,0.2,1.5,0.0,-,0.0,0.0
Myles Price,42389,Min,WR,,Sun 4:05 pm @ TB,FA,1,6,0.63,"2,784",424,1%,-,-,-,-,-,-,0.2,0.1,1.8,0.0,0.0,0.0,0.0
Tylan Wallace,33519,Cle,WR,,Sun 1:00 pm vs Car,FA,1,11,0.63,"2,711",425,0%,-,-,-,-,-,-,0.4,0.3,3.4,0.0,-,0.0,0.0
Cade Stover,40987,Hou,TE,,Sun 1:00 pm @ Ind,FA,1,8,0.60,"2,512",426,0%,-,-,-,0.2,0.6,0.0,0.3,0.2,2.3,0.0,-,0.0,0.0
Cyrus Allen,42773,KC,WR,,Sun 1:00 pm @ Mia,FA,1,5,0.60,242,427,3%,-,-,-,0.0,0.2,-,0.3,0.2,2.3,0.0,-,0.0,0.0
Josh Cuevas,42782,Bal,TE,,Sun 4:25 pm @ Dal,FA,1,13,0.59,"2,136",428,0%,-,-,-,-,-,-,0.4,0.3,3.2,0.0,-,0.0,0.0
Deion Burks,42876,Ind,WR,,Sun 1:00 pm vs Hou,FA,1,13,0.57,"2,516",429,0%,-,-,-,0.1,0.5,0.0,0.3,0.3,2.8,0.0,-,0.0,0.0
Dylan Laube,41054,LV,RB,,Sun 4:25 pm @ NO,FA,1,13,0.57,"2,864",430,1%,-,-,-,0.5,1.4,0.0,0.2,0.2,1.8,0.0,0.0,0.0,0.0
